miRNA	miRDB score	site type
miR-633	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4477a	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-302c-5p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-381-3p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-551b-5p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-195-5p	96	['6mer', '7mer-m8', '8mer-1a']
miR-16-5p	96	['6mer', '7mer-m8', '8mer-1a']
miR-548e-5p	95	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-497-5p	94	['6mer', '7mer-m8', '8mer-1a']
miR-7159-5p	94	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-495-3p	94	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-424-5p	94	['6mer', '7mer-m8', '8mer-1a']
miR-3117-5p	94	['6mer', '7mer-m8', '8mer-1a']
miR-450b-5p	93	['6mer', '7mer-1a', '7mer-m8']
miR-519e-5p	93	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-515-5p	93	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-5682	92	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-448	92	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4766-3p	92	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-6512-5p	92	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3065-5p	92	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-519d-5p	92	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-1305	91	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-603	91	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3529-3p	91	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-6792-5p	91	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
let-7f-2-3p	90	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-5197-3p	90	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4519	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4803	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4310	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-421	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-141-3p	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548g-5p	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-6715a-3p	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548x-5p	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-6776-3p	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548aj-5p	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-200a-3p	89	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-1283	88	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-585-5p	88	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-34b-3p	88	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4276	88	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4432	88	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4668-3p	88	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4709-5p	88	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4422	88	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-676-5p	87	['6mer', '7mer-1a', '7mer-m8']
miR-6871-3p	87	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3942-5p	87	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4451	87	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4503	87	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
let-7b-3p	87	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4719	87	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548p	87	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
let-7a-3p	87	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-98-3p	87	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3908	87	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
