miRNA	miRDB score	site type
miR-3529-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548aa	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548t-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548h-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-2115-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-21-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-6512-5p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-7159-5p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4803	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-495-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3065-5p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548d-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548x-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548bb-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548z	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548ac	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548ap-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548aj-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3143	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-302c-5p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-1323	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548ae-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548j-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548ah-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-16-1-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548am-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548e-5p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548aq-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-802	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-421	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-361-5p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
