miRNA	miRDB score	site type
miR-548aa	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548ap-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548t-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548c-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3065-5p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-495-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4803	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4760-5p	100	['6mer', '7mer-m8', '8mer-1a']
miR-3163	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-5692a	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-6512-5p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-802	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-8061	100	['6mer', '7mer-m8', '8mer-1a']
miR-4282	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-21-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-5011-5p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3529-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-302c-5p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-190a-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548aj-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548bb-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548d-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548h-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3613-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548n	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-497-3p	99	['6mer', '7mer-1a', '7mer-m8']
miR-548ac	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548z	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-551b-5p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-1277-5p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-633	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4477a	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548x-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4762-5p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-302d-5p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4310	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-302b-5p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3671	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548as-3p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548ae-3p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-1323	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-944	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-889-3p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-8063	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-126-5p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-1283	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548ah-3p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-561-3p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-5582-3p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548j-3p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-186-5p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548aq-3p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548am-3p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4528	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-7849-3p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
let-7b-3p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-410-3p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-381-3p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
let-7a-3p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-98-3p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3133	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
let-7f-1-3p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4698	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-338-5p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-519d-5p	96	['7mer-1a', '7mer-m8', '8mer-1a']
miR-4427	96	['7mer-1a', '7mer-m8', '8mer-1a']
miR-7159-5p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-624-5p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4789-3p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4719	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-95-5p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
