miRNA	miRDB score	site type
miR-21-3p	100	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3529-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3065-5p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-302c-5p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-495-3p	99	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4291	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-6715a-3p	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3143	98	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-543	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-194-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-6512-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548t-3p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-195-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548e-5p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548ap-3p	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548aa	97	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-8063	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548bb-3p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-16-5p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-6715b-3p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548z	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548ac	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548h-3p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548d-3p	96	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-5003-5p	95	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-1323	95	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-676-5p	94	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-424-5p	94	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-497-5p	94	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-7159-5p	94	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-2053	94	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-6882-5p	94	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548aj-5p	93	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
